"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"Amarillo, TX Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","25,830","18.7%","28.0%","48.6%","4.6%","167,611","6.4%","8.4%","24.5%","29.9%","8.1%","15.0%","7.7%","85.1%","22.7%","38,495","85.4%","18.9%","31,575","84.9%","25.7%","64,078","86.6%","21.8%","33,463","82.2%","26.0%","","30.7%","11.5%","8.6%","2.6%","","34,917","21,464","26,435","34,970","48,568","62,429","","6.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,167","24.1%","28.8%","44.6%","2.6%","83,389","7.9%","8.7%","25.1%","29.4%","7.0%","13.9%","8.0%","83.4%","21.9%","19,883","81.3%","14.4%","16,525","82.8%","23.0%","32,333","85.5%","22.5%","14,648","82.1%","29.8%","","31.3%","9.9%","6.0%","1.9%","","43,153","23,384","31,952","48,302","65,485","71,300","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,663","13.2%","27.2%","52.8%","6.8%","84,222","5.0%","8.2%","23.8%","30.3%","9.2%","16.1%","7.3%","86.8%","23.5%","18,612","89.7%","23.6%","15,050","87.3%","28.7%","31,745","87.7%","21.1%","18,815","82.2%","23.1%","","30.1%","13.0%","10.9%","3.2%","","26,748","16,757","20,634","25,981","45,081","52,451","","(X)"
"Ames, IA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","28,465","2.0%","13.8%","75.4%","8.8%","49,474","1.1%","2.5%","19.9%","18.8%","9.7%","21.9%","26.0%","96.4%","47.9%","12,976","94.1%","46.2%","9,001","97.4%","58.8%","17,361","97.8%","46.2%","10,136","96.3%","43.5%","","29.1%","15.0%","7.8%","4.8%","","37,313","17,509","26,521","32,489","39,304","56,655","","5.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,516","1.9%","14.6%","74.7%","8.8%","25,305","1.4%","2.8%","19.5%","17.1%","9.0%","20.6%","29.6%","95.8%","50.2%","7,372","93.4%","46.3%","4,843","96.4%","55.7%","8,592","97.8%","46.8%","4,498","95.3%","57.2%","","39.1%","8.9%","11.6%","4.0%","","43,762","11,882","37,471","40,433","47,107","63,265","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,949","2.1%","12.9%","76.1%","8.9%","24,169","0.8%","2.1%","20.4%","20.7%","10.5%","23.2%","22.3%","97.1%","45.5%","5,604","95.0%","46.0%","4,158","98.5%","62.3%","8,769","97.8%","45.6%","5,638","97.0%","32.6%","","13.9%","21.4%","4.5%","5.7%","","30,805","18,324","18,521","30,111","33,222","46,321","","(X)"
"Anchorage, AK Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","45,343","13.6%","36.6%","42.8%","7.0%","251,736","2.8%","3.9%","26.2%","28.4%","9.0%","19.0%","10.7%","93.3%","29.7%","64,687","93.6%","24.1%","51,434","95.0%","33.0%","99,252","94.6%","31.1%","36,363","86.8%","31.2%","","18.1%","12.7%","6.1%","2.6%","","47,702","29,142","38,001","41,799","60,586","75,030","","8.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","25,476","12.8%","38.1%","44.4%","4.7%","127,602","2.4%","4.5%","27.7%","29.3%","9.3%","17.3%","9.6%","93.1%","26.8%","33,959","92.4%","17.7%","25,747","96.1%","28.0%","50,709","93.5%","29.0%","17,187","88.8%","36.7%","","13.4%","9.8%","4.4%","2.3%","","55,541","38,699","45,703","51,429","70,874","90,861","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,867","14.7%","34.8%","40.7%","9.9%","124,134","3.2%","3.3%","24.7%","27.5%","8.7%","20.8%","11.8%","93.5%","32.6%","30,728","94.9%","31.1%","25,687","93.8%","38.0%","48,543","95.7%","33.2%","19,176","85.1%","26.2%","","22.9%","15.8%","7.9%","2.8%","","39,864","20,820","29,764","34,271","52,656","65,148","","(X)"
"Ann Arbor, MI Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","64,826","6.2%","15.3%","61.9%","16.6%","221,693","1.7%","3.6%","15.4%","19.1%","7.2%","24.7%","28.3%","94.7%","53.0%","50,043","97.7%","61.6%","41,777","95.5%","56.3%","86,829","94.8%","50.3%","43,044","90.1%","45.5%","","26.6%","10.5%","11.4%","5.6%","","42,303","20,221","28,115","31,738","49,912","63,901","","4.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","33,048","6.3%","17.3%","60.6%","15.8%","107,152","1.8%","3.8%","16.0%","19.2%","6.7%","24.6%","27.9%","94.4%","52.5%","25,396","97.5%","60.3%","20,780","96.1%","51.2%","41,841","93.7%","49.6%","19,135","89.8%","49.9%","","30.5%","10.4%","9.8%","4.2%","","50,722","25,917","34,329","39,275","62,338","78,713","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","31,778","6.2%","13.2%","63.3%","17.3%","114,541","1.6%","3.4%","14.8%","18.9%","7.7%","24.9%","28.6%","95.0%","53.5%","24,647","98.0%","62.9%","20,997","95.0%","61.3%","44,988","95.8%","50.9%","23,909","90.3%","42.0%","","22.3%","10.7%","12.9%","7.0%","","36,186","15,521","21,311","26,299","40,958","56,468","","(X)"
"Anniston-Oxford-Jacksonville, AL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,195","18.8%","24.7%","53.2%","3.3%","79,002","4.3%","12.4%","31.1%","25.6%","7.8%","12.0%","6.8%","83.3%","18.8%","14,708","84.7%","20.4%","14,750","88.2%","16.7%","31,001","87.1%","22.1%","18,543","71.9%","13.6%","","33.2%","16.6%","13.2%","5.3%","","27,040","14,932","29,046","26,559","31,477","51,659","","6.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,518","27.2%","22.9%","48.5%","1.4%","36,907","4.4%","11.8%","32.8%","27.1%","7.0%","11.8%","5.1%","83.8%","16.9%","6,831","82.4%","19.2%","7,568","86.8%","10.8%","14,700","87.3%","19.8%","7,808","75.5%","15.4%","","19.8%","11.1%","9.8%","3.3%","","33,311","21,077","36,661","34,507","36,383","75,039","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,677","10.6%","26.5%","57.9%","5.1%","42,095","4.3%","12.9%","29.6%","24.3%","8.5%","12.2%","8.2%","82.8%","20.5%","7,877","86.7%","21.4%","7,182","89.6%","22.9%","16,301","86.9%","24.3%","10,735","69.3%","12.4%","","44.6%","22.0%","16.4%","6.8%","","22,604","11,981","19,803","22,884","30,506","48,097","","(X)"
"Appleton, WI Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,003","14.0%","28.2%","46.5%","11.3%","154,847","2.5%","4.9%","33.7%","20.6%","10.9%","20.5%","6.8%","92.6%","27.3%","30,087","93.0%","30.6%","29,032","94.1%","35.0%","65,725","94.6%","26.2%","30,003","86.4%","18.8%","","23.2%","9.0%","5.8%","2.6%","","37,679","30,909","32,179","36,704","46,833","65,253","","5.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,232","17.5%","27.0%","43.6%","11.8%","76,101","3.2%","5.2%","33.1%","21.1%","11.0%","19.9%","6.4%","91.5%","26.3%","15,193","91.3%","26.2%","14,793","93.3%","29.9%","32,807","93.3%","27.0%","13,308","85.3%","20.8%","","14.1%","7.6%","6.4%","1.0%","","46,591","31,814","43,127","43,833","62,495","82,338","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,771","10.3%","29.3%","49.5%","10.8%","78,746","1.8%","4.6%","34.4%","20.1%","10.9%","21.1%","7.1%","93.7%","28.2%","14,894","94.8%","35.1%","14,239","94.9%","40.3%","32,918","95.8%","25.4%","16,695","87.2%","17.2%","","35.5%","10.3%","5.1%","4.1%","","29,281","11,635","24,510","29,759","35,483","58,750","","(X)"
"Arecibo, PR Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,640","12.8%","24.6%","55.3%","7.2%","132,805","19.2%","9.5%","30.2%","10.0%","9.0%","16.8%","5.4%","71.3%","22.2%","23,197","89.4%","31.8%","26,009","77.9%","28.9%","48,932","77.3%","24.7%","34,667","45.9%","7.1%","","62.9%","48.2%","42.8%","17.6%","","16,457","7,192","14,942","14,714","19,817","27,638","","5.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,749","15.4%","24.9%","54.8%","4.8%","61,599","19.0%","12.5%","34.2%","9.0%","7.6%","13.2%","4.5%","68.5%","17.7%","11,507","86.1%","30.9%","12,515","71.9%","19.2%","22,381","70.5%","16.3%","15,196","49.3%","8.5%","","63.0%","41.1%","37.8%","16.7%","","15,890","7,545","14,796","15,841","19,714","29,938","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,891","10.1%","24.2%","55.9%","9.8%","71,206","19.4%","6.8%","26.7%","10.8%","10.2%","19.9%","6.2%","73.8%","26.1%","11,690","92.7%","32.6%","13,494","83.4%","38.0%","26,551","83.1%","31.9%","19,471","43.3%","6.0%","","62.8%","55.9%","46.2%","18.2%","","17,129","4,792","15,346","12,764","19,888","24,413","","(X)"
"Asheville, NC Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","35,557","10.9%","34.9%","43.4%","10.9%","321,725","3.8%","5.7%","25.1%","23.3%","9.5%","20.5%","12.1%","90.5%","32.6%","51,757","92.7%","35.3%","56,913","92.4%","34.9%","122,135","92.1%","31.0%","90,920","86.1%","31.9%","","25.2%","13.5%","10.3%","4.6%","","31,071","18,362","25,653","29,351","38,966","51,357","","8.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,661","14.6%","34.0%","44.2%","7.1%","151,686","4.5%","6.5%","27.3%","21.5%","8.0%","20.3%","12.0%","89.0%","32.2%","24,864","92.8%","30.7%","28,908","90.1%","31.6%","58,379","89.7%","29.8%","39,535","84.8%","37.3%","","22.4%","10.0%","9.4%","3.9%","","34,220","19,288","29,280","34,083","46,117","57,930","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,896","6.7%","36.0%","42.4%","15.0%","170,039","3.1%","5.0%","23.2%","24.9%","10.9%","20.7%","12.3%","91.9%","33.0%","26,893","92.7%","39.5%","28,005","94.7%","38.3%","63,756","94.3%","32.1%","51,385","87.0%","27.8%","","28.6%","17.1%","11.0%","5.1%","","27,699","14,626","21,083","26,398","34,348","48,034","","(X)"
"Ashtabula, OH Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,691","20.7%","44.8%","32.5%","1.9%","68,993","4.7%","9.4%","44.8%","20.2%","7.9%","8.3%","4.7%","85.9%","13.0%","10,661","85.4%","14.4%","12,531","86.8%","16.8%","28,797","88.0%","12.5%","17,004","82.0%","10.2%","","27.3%","19.7%","13.4%","10.3%","","30,770","22,014","29,463","32,362","40,541","40,133","","4.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,230","21.0%","47.9%","28.7%","2.4%","34,271","4.3%","11.2%","45.3%","20.4%","5.8%","9.0%","3.9%","84.5%","12.9%","5,695","79.2%","11.3%","6,566","87.8%","17.7%","14,261","87.4%","11.4%","7,749","80.3%","12.9%","","22.7%","16.2%","10.5%","5.7%","","39,580","27,310","35,832","40,537","47,482","47,247","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,461","20.3%","41.1%","37.3%","1.3%","34,722","5.1%","7.6%","44.4%","19.9%","10.0%","7.6%","5.4%","87.3%","13.1%","4,966","92.5%","17.9%","5,965","85.8%","15.8%","14,536","88.6%","13.5%","9,255","83.4%","8.0%","","32.2%","23.0%","15.9%","14.9%","","24,043","14,335","20,721","28,682","20,647","35,890","","(X)"
"Athens, TX Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,689","16.9%","57.2%","25.1%","0.8%","56,168","8.4%","9.7%","33.4%","22.3%","7.3%","13.4%","5.4%","81.9%","18.8%","8,334","87.1%","13.5%","9,677","71.4%","22.1%","21,420","83.0%","16.4%","16,737","83.9%","22.6%","","30.7%","16.8%","11.8%","5.8%","","28,149","21,073","25,885","27,376","43,490","36,340","","6.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,995","27.0%","51.3%","21.7%","0.0%","26,480","9.4%","9.2%","33.2%","23.3%","5.8%","14.1%","5.0%","81.4%","19.0%","3,919","86.9%","13.4%","4,692","63.8%","16.7%","10,391","83.7%","15.1%","7,478","86.4%","28.9%","","32.4%","12.4%","9.9%","0.9%","","33,779","22,177","35,333","31,256","48,592","71,074","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,694","5.6%","63.8%","28.8%","1.7%","29,688","7.6%","10.1%","33.6%","21.4%","8.7%","12.8%","5.8%","82.3%","18.6%","4,415","87.3%","13.6%","4,985","78.5%","27.2%","11,029","82.4%","17.6%","9,259","81.8%","17.6%","","29.0%","20.7%","13.4%","10.2%","","24,795","17,412","20,629","25,199","38,560","27,425","","(X)"
"Athens-Clarke County, GA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","41,002","8.5%","20.1%","59.1%","12.2%","116,699","5.7%","7.9%","24.8%","17.9%","7.9%","17.5%","18.4%","86.5%","35.9%","25,629","88.9%","39.8%","25,185","85.6%","31.1%","42,693","89.1%","38.2%","23,192","79.8%","32.6%","","35.2%","22.1%","15.7%","9.7%","","30,062","21,135","26,224","26,193","31,627","52,375","","6.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,589","8.0%","21.9%","58.5%","11.5%","55,509","6.5%","8.5%","25.6%","17.8%","6.7%","16.8%","18.2%","85.0%","35.0%","12,111","85.1%","37.2%","12,886","87.4%","24.5%","20,180","87.9%","38.6%","10,332","76.3%","38.5%","","34.2%","20.1%","18.6%","8.0%","","32,468","21,530","30,400","34,759","35,993","58,545","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,413","8.9%","18.5%","59.6%","12.9%","61,190","4.9%","7.3%","24.0%","18.0%","9.1%","18.2%","18.5%","87.8%","36.7%","13,518","92.3%","42.1%","12,299","83.7%","38.1%","22,513","90.2%","37.8%","12,860","82.6%","27.9%","","36.3%","24.1%","13.3%","11.3%","","26,092","20,094","22,492","21,128","28,771","51,237","","(X)"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","525,837","15.8%","30.4%","43.4%","10.4%","3,659,861","4.7%","7.0%","24.6%","20.8%","7.0%","22.9%","13.0%","88.3%","35.8%","784,105","88.0%","37.1%","828,773","88.5%","39.2%","1,442,133","90.3%","36.8%","604,850","83.4%","27.3%","","29.8%","16.4%","10.9%","4.0%","","37,115","20,399","26,737","32,482","50,964","64,050","","7.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","266,998","17.9%","31.7%","42.1%","8.3%","1,727,501","4.9%","8.1%","25.3%","19.8%","6.1%","23.2%","12.6%","87.0%","35.8%","378,396","85.9%","32.2%","398,387","86.4%","36.7%","690,562","88.9%","37.7%","260,156","84.7%","34.6%","","25.0%","13.7%","8.2%","3.7%","","42,039","22,361","30,784","38,887","62,305","84,820","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
