"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"Amarillo, TX Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26,560","15.4%","31.2%","47.2%","6.3%","165,552","6.2%","9.6%","25.7%","27.9%","7.3%","16.0%","7.4%","84.2%","23.4%","37,757","82.0%","22.5%","33,012","84.2%","22.4%","62,236","86.8%","23.9%","32,547","82.0%","24.3%","","27.7%","13.4%","8.1%","4.3%","","32,368","20,313","26,470","33,462","47,708","61,160","","5.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,302","15.7%","37.7%","44.9%","1.7%","82,048","7.3%","9.4%","25.8%","27.9%","7.1%","15.0%","7.4%","83.3%","22.4%","19,964","79.3%","18.5%","16,803","83.0%","20.0%","31,207","86.4%","22.5%","14,074","82.5%","30.8%","","22.4%","12.2%","6.9%","3.1%","","41,270","24,056","33,293","41,752","62,468","87,097","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,258","15.1%","24.6%","49.5%","10.8%","83,504","5.0%","9.8%","25.6%","27.8%","7.5%","16.9%","7.4%","85.2%","24.3%","17,793","85.0%","27.1%","16,209","85.5%","24.9%","31,029","87.2%","25.4%","18,473","81.7%","19.3%","","32.9%","14.5%","9.1%","5.5%","","27,290","16,239","21,471","29,049","41,819","49,103","","(X)"
"Ames, IA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","28,838","1.2%","5.5%","79.8%","13.4%","47,463","1.5%","3.1%","19.5%","18.0%","9.7%","26.8%","21.4%","95.4%","48.2%","11,677","98.5%","58.9%","8,646","96.7%","51.6%","17,487","96.6%","47.7%","9,653","88.4%","33.1%","","23.9%","11.6%","7.6%","4.2%","","39,349","25,952","32,177","35,279","42,482","51,914","","3.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,657","0.9%","5.0%","83.2%","10.9%","23,462","1.3%","3.2%","18.7%","18.5%","9.4%","26.0%","22.8%","95.5%","48.9%","5,959","97.2%","55.1%","4,788","96.7%","40.8%","8,498","97.1%","48.4%","4,217","88.5%","50.2%","","11.9%","7.7%","5.8%","2.4%","","45,687","23,125","37,322","41,506","48,942","65,235","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,181","1.7%","6.1%","75.8%","16.4%","24,001","1.7%","3.0%","20.3%","17.5%","10.0%","27.6%","20.0%","95.3%","47.5%","5,718","99.9%","62.9%","3,858","96.7%","65.1%","8,989","96.1%","47.0%","5,436","88.3%","19.7%","","33.0%","15.4%","9.5%","6.0%","","31,666","38,886","21,625","24,830","37,523","46,011","","(X)"
"Anchorage, AK Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","45,477","18.1%","32.9%","42.6%","6.4%","248,675","2.9%","4.7%","26.4%","27.3%","8.8%","20.0%","9.9%","92.4%","30.0%","62,882","93.9%","28.0%","50,233","96.3%","33.6%","101,655","92.5%","29.0%","33,905","83.9%","31.5%","","18.0%","9.8%","4.5%","1.2%","","44,859","30,665","38,211","40,954","52,988","72,029","","7.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","25,386","16.8%","38.3%","41.6%","3.3%","126,710","2.4%","5.9%","29.2%","27.3%","7.6%","17.8%","9.8%","91.7%","27.6%","33,218","92.6%","22.0%","25,606","94.9%","28.3%","51,578","91.8%","28.8%","16,308","84.2%","34.4%","","12.7%","8.2%","3.9%","1.4%","","51,813","34,770","46,773","47,131","68,726","81,355","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,091","19.8%","26.0%","43.9%","10.3%","121,965","3.4%","3.4%","23.4%","27.3%","10.0%","22.4%","10.1%","93.2%","32.5%","29,664","95.2%","34.7%","24,627","97.7%","39.1%","50,077","93.1%","29.2%","17,597","83.7%","28.8%","","24.3%","11.8%","5.1%","1.0%","","40,034","21,000","27,209","35,215","46,971","63,288","","(X)"
"Ann Arbor, MI Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","63,970","5.6%","14.0%","59.8%","20.6%","219,688","1.2%","3.9%","15.6%","19.5%","6.2%","25.5%","28.0%","94.9%","53.5%","49,768","95.0%","57.5%","42,307","96.6%","56.3%","86,800","95.9%","51.9%","40,813","90.6%","49.3%","","29.2%","16.5%","12.9%","5.2%","","41,740","17,083","24,157","30,423","46,829","72,207","","6.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","32,390","6.7%","12.8%","60.6%","19.9%","105,957","1.2%","4.3%","15.4%","19.7%","6.2%","24.7%","28.7%","94.6%","53.3%","25,043","93.5%","53.8%","20,854","97.1%","52.5%","41,970","95.8%","52.0%","18,090","90.3%","56.7%","","23.7%","19.2%","10.0%","4.8%","","51,428","30,465","28,856","35,476","60,139","91,672","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","31,580","4.5%","15.2%","58.9%","21.3%","113,731","1.3%","3.6%","15.9%","19.4%","6.2%","26.3%","27.3%","95.1%","53.7%","24,725","96.5%","61.1%","21,453","96.2%","59.9%","44,830","96.1%","51.7%","22,723","90.7%","43.5%","","35.3%","14.1%","15.6%","5.5%","","35,696","11,519","20,143","24,774","40,995","55,553","","(X)"
"Anniston-Oxford-Jacksonville, AL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,412","18.6%","25.5%","50.2%","5.7%","78,365","4.5%","15.1%","33.4%","24.4%","7.5%","8.6%","6.5%","80.3%","15.0%","14,869","85.7%","13.8%","15,115","83.9%","14.1%","30,450","80.1%","16.7%","17,931","73.4%","14.0%","","32.8%","13.9%","14.1%","8.9%","","26,625","20,442","26,092","24,393","37,013","47,301","","5.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,344","21.9%","22.9%","53.1%","2.1%","36,823","4.7%","13.6%","36.9%","20.1%","8.2%","9.7%","6.7%","81.6%","16.4%","7,234","92.9%","14.7%","6,990","81.6%","14.7%","15,023","78.5%","16.9%","7,576","77.2%","18.5%","","30.8%","9.8%","10.2%","12.2%","","34,504","25,540","30,778","38,087","47,235","42,554","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,068","15.1%","28.2%","47.2%","9.5%","41,542","4.3%","16.5%","30.3%","28.2%","6.9%","7.6%","6.2%","79.2%","13.8%","7,635","78.8%","12.9%","8,125","85.9%","13.6%","15,427","81.7%","16.4%","10,355","70.6%","10.8%","","34.3%","18.3%","16.9%","5.4%","","21,157","11,711","21,447","19,678","33,615","47,647","","(X)"
"Appleton, WI Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,160","10.4%","36.7%","42.3%","10.6%","153,268","2.4%","4.1%","33.9%","20.8%","11.2%","19.6%","8.0%","93.5%","27.6%","28,876","98.6%","29.4%","30,260","93.8%","36.7%","64,789","95.1%","25.6%","29,343","84.7%","20.8%","","11.8%","8.6%","8.4%","1.3%","","37,828","28,897","31,319","36,340","50,106","59,917","","4.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,398","12.4%","42.8%","37.5%","7.3%","75,353","2.0%","4.7%","35.0%","20.8%","11.4%","17.6%","8.3%","93.2%","25.9%","14,572","98.2%","21.0%","15,510","91.8%","35.1%","32,189","95.3%","25.0%","13,082","84.2%","22.9%","","6.3%","7.4%","8.6%","1.1%","","46,306","29,361","37,707","45,766","62,126","79,156","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,762","8.3%","30.1%","47.5%","14.1%","77,915","2.8%","3.4%","32.8%","20.7%","11.1%","21.4%","7.8%","93.8%","29.2%","14,304","99.1%","38.0%","14,750","95.8%","38.3%","32,600","94.9%","26.3%","16,261","85.1%","19.1%","","17.8%","10.0%","8.3%","1.5%","","30,567","23,724","25,081","27,253","40,635","51,943","","(X)"
"Arecibo, PR Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,321","11.8%","22.4%","59.7%","6.2%","132,970","18.0%","11.0%","25.4%","11.7%","11.5%","15.6%","6.8%","71.0%","22.4%","24,269","84.0%","26.3%","26,464","85.1%","28.0%","47,905","74.7%","26.1%","34,332","45.7%","10.0%","","63.1%","54.6%","36.6%","11.8%","","16,950","10,635","13,915","14,683","24,958","30,773","","5.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,811","10.8%","27.2%","55.4%","6.6%","62,448","19.2%","13.3%","26.6%","13.9%","12.0%","9.9%","5.1%","67.5%","15.0%","11,798","77.4%","12.8%","12,955","79.0%","16.6%","22,315","73.0%","18.6%","15,380","42.3%","10.4%","","58.6%","50.8%","27.5%","8.1%","","16,364","12,924","14,638","17,062","29,053","31,447","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,510","12.7%","17.4%","64.1%","5.8%","70,522","17.0%","9.0%","24.3%","9.9%","11.0%","20.5%","8.3%","74.0%","28.8%","12,471","90.2%","39.2%","13,509","90.9%","38.9%","25,590","76.2%","32.7%","18,952","48.4%","9.7%","","67.9%","58.2%","46.5%","13.6%","","17,947","8,547","12,091","13,733","23,692","30,560","","(X)"
"Asheville, NC Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","33,312","19.4%","24.4%","44.7%","11.5%","317,825","3.5%","7.2%","27.5%","20.6%","8.5%","20.1%","12.6%","89.3%","32.7%","55,267","89.6%","32.7%","53,564","90.8%","36.7%","122,139","90.4%","31.0%","86,855","86.7%","32.5%","","32.8%","16.0%","14.8%","5.9%","","30,486","16,724","21,910","31,103","38,279","50,920","","7.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,928","25.1%","23.2%","43.7%","8.0%","149,044","4.6%","7.9%","28.2%","20.1%","7.1%","19.9%","12.2%","87.5%","32.2%","27,332","89.3%","27.8%","26,735","88.6%","32.7%","57,228","86.8%","29.2%","37,749","86.7%","39.5%","","32.5%","14.7%","13.4%","4.0%","","33,902","18,210","25,951","36,886","46,094","60,154","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,384","13.5%","25.6%","45.7%","15.2%","168,781","2.5%","6.6%","26.9%","21.0%","9.8%","20.2%","13.0%","90.9%","33.2%","27,935","89.8%","37.6%","26,829","93.0%","40.8%","64,911","93.7%","32.6%","49,106","86.8%","27.1%","","33.3%","17.2%","15.8%","7.6%","","25,687","15,103","19,444","27,568","33,597","44,148","","(X)"
"Ashtabula, OH Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,142","27.0%","34.8%","37.7%","0.5%","68,977","4.1%","10.4%","43.1%","21.8%","8.0%","8.1%","4.4%","85.5%","12.5%","10,972","77.5%","8.8%","12,309","94.8%","13.1%","28,964","88.0%","13.5%","16,732","79.5%","12.9%","","24.7%","16.0%","14.8%","5.1%","","30,071","18,420","24,919","32,138","36,650","49,917","","4.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,977","29.7%","36.2%","33.4%","0.7%","33,637","5.1%","9.7%","46.2%","20.9%","7.2%","6.4%","4.6%","85.3%","11.0%","5,464","78.7%","9.4%","6,213","94.1%","12.3%","14,718","86.7%","9.6%","7,242","79.6%","13.7%","","24.6%","12.9%","9.4%","5.2%","","35,750","30,247","31,271","46,581","52,175","50,505","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,165","24.5%","33.3%","41.8%","0.4%","35,340","3.1%","11.1%","40.2%","22.7%","8.8%","9.8%","4.2%","85.8%","14.0%","5,508","76.3%","8.2%","6,096","95.5%","13.9%","14,246","89.4%","17.4%","9,490","79.5%","12.3%","","24.7%","19.2%","19.2%","5.1%","","22,550","17,122","20,712","26,500","24,985","42,660","","(X)"
"Athens, TX Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,888","23.8%","38.0%","35.4%","2.8%","54,366","8.7%","11.0%","32.6%","25.7%","7.0%","10.8%","4.1%","80.2%","14.9%","8,478","78.1%","11.4%","7,790","82.4%","10.3%","22,040","78.7%","16.2%","16,058","82.5%","17.1%","","29.1%","11.8%","16.1%","9.5%","","26,452","17,282","25,639","29,851","48,613","43,046","","7.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,360","25.8%","37.7%","34.5%","2.0%","26,168","8.7%","13.3%","33.4%","25.5%","5.6%","9.8%","3.7%","78.0%","13.5%","4,539","72.3%","12.0%","3,470","85.4%","7.8%","10,817","73.4%","12.3%","7,342","84.9%","19.0%","","23.7%","6.2%","12.3%","6.0%","","29,363","17,493","30,673","33,253","60,508","24,323","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,528","21.9%","38.2%","36.3%","3.5%","28,198","8.8%","8.9%","31.9%","25.9%","8.3%","11.7%","4.5%","82.3%","16.2%","3,939","84.8%","10.7%","4,320","80.0%","12.3%","11,223","83.7%","20.1%","8,716","80.6%","15.5%","","35.2%","17.3%","19.4%","12.2%","","25,064","16,880","16,774","26,358","42,431","45,417","","(X)"
"Athens-Clarke County, GA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","42,464","5.9%","24.2%","53.3%","16.6%","115,535","5.3%","8.4%","26.9%","22.2%","5.5%","16.5%","15.1%","86.2%","31.6%","26,575","89.8%","37.3%","23,317","86.8%","36.3%","43,031","85.8%","28.6%","22,612","82.3%","25.8%","","44.0%","17.6%","19.6%","8.4%","","28,713","15,546","25,239","26,813","36,168","49,607","","5.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,524","7.9%","19.9%","53.8%","18.4%","54,268","5.0%","9.1%","25.6%","23.4%","5.5%","15.4%","16.1%","85.9%","31.4%","12,030","88.1%","28.2%","12,052","86.7%","35.7%","20,612","85.0%","27.4%","9,574","84.1%","38.8%","","35.1%","12.7%","19.7%","7.4%","","33,061","16,536","30,703","29,818","44,421","61,629","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,940","4.0%","28.3%","52.8%","14.9%","61,267","5.6%","7.8%","28.0%","21.3%","5.5%","17.6%","14.2%","86.5%","31.7%","14,545","91.3%","44.8%","11,265","87.0%","36.9%","22,419","86.5%","29.7%","13,038","80.9%","16.2%","","52.4%","21.6%","19.4%","9.2%","","25,107","11,193","20,981","22,413","30,301","44,399","","(X)"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","524,496","17.9%","28.9%","43.6%","9.7%","3,583,862","4.9%","6.9%","24.8%","20.8%","7.4%","22.4%","12.7%","88.2%","35.2%","765,019","87.7%","36.5%","831,506","89.2%","38.9%","1,415,105","90.4%","35.1%","572,232","81.9%","28.0%","","29.1%","16.2%","11.5%","4.7%","","36,386","19,790","26,528","32,318","51,091","61,935","","7.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","264,337","20.0%","31.1%","41.4%","7.6%","1,695,851","5.3%","7.2%","25.5%","19.8%","6.8%","22.7%","12.7%","87.5%","35.4%","373,114","85.4%","32.6%","399,875","87.5%","36.6%","676,766","89.7%","35.9%","246,096","84.5%","36.4%","","24.6%","13.0%","8.9%","4.5%","","41,630","21,683","30,794","39,496","63,374","81,373","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
